HINCD,HINNM,USAGE
1,段ボール,1
2,ＬＢ段ボール,2
3,Ｐ段ボール,2
4,新段ボール,2
5,Ｐ新段ボール,2
9,その他段ボー,2
10,茶　紙,1
11,雑袋茶,2
12,食袋茶,2
13,無地茶,2
14,糸抜茶,2
15,切り茶,2
16,洋段茶,2
17,スーパー茶,2
18,白粉雑茶,2
20,新　聞,1
21,ＬＢ新聞,2
22,その他新聞,2
23,ミックス紙,2
24,その他新聞,2
25,雑　誌,1
26,ＬＢ雑誌,2
27,残　本,2
28,チラシ,2
29,その他雑誌,2
30,地券その他,2
31,地　券,1
32,ボール,2
33,合　紙,1
34,ＬＢ地券,2
35,紙　管,1
36,Ｐ紙管,2
37,金付紙管,2
38,活紙管,2
39,その他紙管,2
40,ＬＢ色上,2
41,色　上,1
42,下模造,2
43,一品色上,2
44,ノーカン,2
45,模　造,2
46,釜入模造,2
47,その他色模,2
48,ケント,2
49,上ケント,2
50,ＬＢ模造,2
51,上　白,2
52,ケイ白,2
53,白アート,2
54,機密書類,2
55,ＯＣＲ,2
56,クリーム上白,2
57,白マニラ,2
58,Ｂケント,2
59,込Ｂケント,2
60,連続模造,2
61,連続模造Ａ,2
62,シュレッダー,2
63,連続模造Ｃ,2
64,その他上物,2
65,切付,2
66,厚口ケント,2
67,厚口ケント上,2
68,その他中物,2
69,中　白,2
70,ウエス,1
71,その他ウエス,2
72,発泡スチロー,2
73,ＰＥＴ,2
75,ＯＡ古紙,1
76,雑古紙,2
77,廃棄書類,2
78,選別紙,2
79,プラスチック,1
80,その他,2
81,その他,2
82,残　紙,2
83,その他ＯＡ,2
84,アルミ,1
85,込　紙,2
86,Ｍカートン,2
87,不良品,1
88,ＯＡ古紙,2
89,消費税,2
91,値　増,2
92,口　銭,2
93,運　賃,2
95,見積品名,2
99,水分・不良引,1
